software engineer,software developer,softwre engineer,softwre developer,software-engineer c++,C++ developer,,
web developer,fullstack developer,full-stack developer,fllstack engineer,web engineer,,,
product manager,prduct manager,product mangr,,,,,
QA tester,quality assurance tester,QA software tester,software tester,quality assurance engineer,QA Analyst,,
data engineer,data engneer,,,,,,
ML engineer,Machine learning engineer,ML developer,AI engineer,AI developer,AI programmer,deep learning engineer,data scientist
frontend developer,Front End Developer,Front-End Developer,frontend engineer,fronend engineer,,,
backend developer,Back End Developer,Back-End Developer,backend engineer,backend enginer,,,
Go developer,golang developer,go lang developer,go-lang engineer,golang engineer,go engineer,,
python developer,Python Engineer,python dvelopr,,,,,
product owner	,prodct owner,,,,,,
ui designer,ux designer,ui ux designer,,,,,
Java developer,java engineer,java enginer,jave egineer,,,,
Marketing Manager,market manager,,,,,,
sales Manager,sale manager,sales managr,,,,,
administrative Assistant,administative assistant,,,,,,
